Education (At least bachelors degree) for Virginia by County
Population Ages 25+
"All Races (includes Hispanic/Latino), Both Sexes, 2015-2019"
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US (of 3145 counties)
"Louisa County",51109,24.1,6308,"963"
"Orange County",51137,25.1,6342,"858"
"Bristol City",51520,25.4,3068,"830"
"Colonial Heights City",51570,25.5,3082,"819"
"Culpeper County",51047,25.7,8844,"804"
"Newport News City",51700,26.3,30596,"768"
"Rockingham County",51165,26.3,14475,"762"
"Rockbridge County",51163,26.7,4537,"740"
"Prince Edward County",51147,26.8,3489,"734"
"New Kent County",51127,26.9,4218,"722"
"Hampton City",51650,26.9,24346,"721"
"Isle of Wight County",51093,27.0,7107,"716"
"Waynesboro City",51820,27.1,4159,"712"
"Manassas Park City",51685,27.9,3093,"673"
"Mathews County",51115,27.9,1929,"672"
"Salem City",51775,27.9,4775,"667"
"Frederick County",51069,28.3,16864,"645"
"Botetourt County",51023,28.3,6943,"639"
"Norfolk City",51710,28.8,44060,"608"
"Northumberland County",51133,28.9,2833,"604"
"Greene County",51079,29.0,3935,"593"
"Bedford City and County",51917,29.2,16558,"577"
"Powhatan County",51145,29.2,6228,"575"
"Suffolk City",51800,29.5,17973,"566"
"Manassas City",51683,29.6,7819,"556"
"Nelson County",51125,30.4,3368,"520"
"Lancaster County",51103,31.5,2717,"455"
"Spotsylvania County",51177,31.7,28052,"449"
"Clarke County",51043,32.2,3332,"426"
"Chesapeake City",51550,33.2,53398,"378"
"Staunton City",51790,33.4,5890,"364"
"Fluvanna County",51065,33.9,6544,"341"
"Winchester City",51840,35.1,6503,"305"
"Roanoke County",51161,35.6,24021,"289"
"Lynchburg City",51680,35.6,15981,"287"
"Rappahannock County",51157,35.8,1966,"279"
"King George County",51099,36.0,6246,"272"
"Virginia Beach City",51810,36.0,110580,"271"
"Harrisonburg City",51660,36.3,9795,"262"
"Fauquier County",51061,36.4,17487,"253"
"Radford City",51750,38.0,3115,"224"
"Richmond City",51760,39.6,62578,"193"
"Hanover County",51085,39.8,29042,"189"
"Stafford County",51179,39.9,37498,"184"
"Chesterfield County",51041,40.5,93507,"176"
"Fredericksburg City",51630,40.9,7061,"168"
"Prince William County",51153,41.1,121316,"163"
"Goochland County",51075,41.8,7159,"151"
"Poquoson City",51735,42.2,3572,"145"
"Henrico County",51087,43.7,99221,"122"
"Montgomery County",51121,45.5,25446,"102"
"Lexington City",51678,46.7,1490,"87"
"York County",51199,47.1,21501,"86"
"James City County",51095,50.4,27426,"54"
"Charlottesville City",51540,54.9,16679,"30"
"Albemarle County",51003,55.1,40215,"28"
"Williamsburg City",51830,56.8,4222,"22"
"Fairfax City",51600,60.8,9802,"10"
"Loudoun County",51107,61.3,155565,"8"
"Fairfax County",51059,61.6,480163,"7"
"Alexandria City",51510,63.1,75483,"4"
"Arlington County",51013,75.3,130252,"2"
"Falls Church City",51610,77.6,7430,"1"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/15/2023. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education (At least bachelors degree), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#education."
