Poverty (Families below poverty) for Virginia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2015-2019"
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US (of 3145 counties)
"Giles County",51071,5.8,261,"506"
"Bedford City and County",51917,5.8,1313,"496"
"Floyd County",51063,5.7,257,"477"
"Caroline County",51033,5.6,435,"447"
"Bland County",51021,5.5,95,"431"
"Bath County",51017,5.2,57,"363"
"Orange County",51137,5.1,486,"358"
"Prince George County",51149,5.1,424,"349"
"Virginia Beach City",51810,5.0,5794,"318"
"Botetourt County",51023,4.9,470,"301"
"Roanoke County",51161,4.8,1240,"287"
"Prince William County",51153,4.8,5235,"283"
"Albemarle County",51003,4.7,1233,"276"
"Greene County",51079,4.7,251,"274"
"King William County",51101,4.6,219,"259"
"Spotsylvania County",51177,4.4,1499,"231"
"Chesterfield County",51041,4.4,4002,"222"
"Frederick County",51069,4.3,1025,"212"
"James City County",51095,4.2,879,"196"
"Arlington County",51013,4.2,2068,"192"
"King George County",51099,4.2,291,"191"
"Fairfax County",51059,4.2,11860,"189"
"Fauquier County",51061,4.1,742,"177"
"Culpeper County",51047,4.1,516,"169"
"Poquoson City",51735,4.0,139,"156"
"Fairfax City",51600,4.0,235,"151"
"York County",51199,4.0,748,"149"
"King and Queen County",51097,3.9,66,"144"
"Hanover County",51085,3.6,1039,"113"
"Fluvanna County",51065,3.5,252,"109"
"Powhatan County",51145,3.5,281,"105"
"Madison County",51113,3.3,118,"89"
"Rappahannock County",51157,3.2,62,"77"
"Craig County",51045,3.1,45,"66"
"Clarke County",51043,3.0,115,"55"
"Stafford County",51179,2.8,1056,"44"
"Goochland County",51075,2.7,166,"40"
"Falls Church City",51610,2.2,80,"18"
"Loudoun County",51107,2.2,2219,"17"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/15/2023. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty (Families below poverty), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#poverty."
